page_url,writer,date,title,content
https://www.ndtv.com/latest/page-5,Debika Chakraborty," Monday April 11, 2022                                                        
                                                        ",ICSE Class 10 Semester 2 English Exam 2022: Check Specimen Question Paper,"The specimen question papers, syllabus and regulations for ICSE (Class 10) are released by CISCE board on the official website- cisce.org."
https://www.ndtv.com/latest/page-5,Press Trust of India," Monday April 11, 2022                                                        
                                                        ",Praful Patel's Tenure As AIFF President Violates Sports Code: Sports Ministry Tells Supreme Court,"According to the Supreme Court, the AIFF should hold elections for its President post without further delay. According to them, Praful Patel's tenure was in violation of the Sports Code."
https://www.ndtv.com/latest/page-5,Arnab Mitra," Monday April 11, 2022                                                        
                                                        ",AP EAMCET (EAPCET) 2022 To Be Held From July 4; Important Details On Application Process,Manabadi AP EAMCET (EAPCET) 2022: AP EAPCET 2022 is scheduled to be held from July 4. Apply on the official website- apsche.ap.gov.in till May 10
https://www.ndtv.com/latest/page-5,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans: IPL 2022 Live Cricket Score, Live Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
https://www.ndtv.com/latest/page-5,Jagmeet Singh," Monday April 11, 2022                                                        
                                                        ","Vivo X Fold, X Note With Snapdragon 8 Gen 1 SoC Launched; Vivo Pad Debuts Alongside","Vivo X Fold and X Note were launched in China on Monday as the company's two new smartphone models. While the Vivo X Fold is Vivo's first foldable phone, the Vivo X Note is the latest premium phone by the Chinese company. Vivo Pad debuted alongside the two new phones as the company's first tablet."
https://www.ndtv.com/latest/page-5,Press Trust of India," Monday April 11, 2022                                                        
                                                        ","Foreign languages, Tamil Engineering Diplomas And More For Tamil Nadu Students","To enhance employability skills, the government has introduced teaching foreign languages such as German to final year students of state-run engineering colleges- Higher Education Minister K Ponmudy said."
https://www.ndtv.com/latest/page-5,Animesh Singh," Monday April 11, 2022                                                        
                                                        ",TRAI Suggests Sharp Reduction In 5G Spectrum Band Base Price,"TRAI has suggested slashing the base price of 5G airwaves, with 40 per cent reduction in 700 MHz band and 36 per cent cut in 3300-3670 MHz bands price"
https://www.ndtv.com/latest/page-5,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans: IPL 2022 Live Cricket Score, Live Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
https://www.ndtv.com/latest/page-5,Arnab Mitra," Monday April 11, 2022                                                        
                                                        ","ICAI Offers Foreign Language Courses For Its Students, Members","According to Dr. Debashis Mitra , President, ICAI, ""by acquiring proficiency in the language of communication for businesses, CA members and students, can add value to their technical expertise, and engage with and serve their international clients better."""
https://www.ndtv.com/latest/page-5,Debika Chakraborty," Monday April 11, 2022                                                        
                                                        ","CBSE, CISCE; List Of State-Wise 10th, 12th Exams 2022 To Commence From Next Week","Besides CBSE, CISCE, states like Tripura, Andhra Pradesh and Karnataka will conduct their Class 10, 12 exams in the upcoming weeks of April."
https://www.ndtv.com/latest/page-5,Agence France-Presse," Monday April 11, 2022                                                        
                                                        ",Italy Freezes Villa Of Russian F1 Driver Nikita Mazepin And Father,"Nikita Mazepin, 23, was sacked by the Haas Formula One team last month after Russia's invasion of Ukraine."
https://www.ndtv.com/latest/page-5,Siddhant Chandra," Monday April 11, 2022                                                        
                                                        ","Apple Working on a 35W Dual-Port USB Type-C Power Adapter, Support Document Shows: Report",Apple could be working on a 35W dual-port USB Type-C power adapter. It is expected to go into mass production in 2022.
https://www.ndtv.com/latest/page-5,Sheldon Pinto," Monday April 11, 2022                                                        
                                                        ",Samsung Galaxy A53 5G Review: A Worthy Successor?,"Battery life improvements aside, the Samsung Galaxy A53 5G's closest competitor is its predecessor, the Galaxy A52s."
https://www.ndtv.com/latest/page-5,David Delima," Monday April 11, 2022                                                        
                                                        ","iQoo Neo 6 Teased to Sport 64-Megapixel Camera, 4,700mAh Battery Ahead of April 13 Launch","iQoo Neo 6 specifications have been teased by the company, ahead of the phone’s debut in China. The smartphone is set to launch on April 13, with a 64-megapixel primary camera and a 4,700mAh battery and 80W fast charging support, according to the company. It is tipped to be powered by a Snapdragon 8 Gen 1 SoC, paired with up to 12GB of LPDDR5 RAM."
https://www.ndtv.com/latest/page-6,David Delima," Monday April 11, 2022                                                        
                                                        ","iQoo Neo 6 Teased to Sport 64-Megapixel Camera, 4,700mAh Battery Ahead of April 13 Launch","iQoo Neo 6 specifications have been teased by the company, ahead of the phone’s debut in China. The smartphone is set to launch on April 13, with a 64-megapixel primary camera and a 4,700mAh battery and 80W fast charging support, according to the company. It is tipped to be powered by a Snapdragon 8 Gen 1 SoC, paired with up to 12GB of LPDDR5 RAM."
https://www.ndtv.com/latest/page-6,Press Trust of India," Monday April 11, 2022",RBI Controlled Markets' Trading Returns To 9 AM Slot From April 18,Trading in markets regulated by the Reserve Bank of India (RBI) will start from 9 am onwards from April 18
https://www.ndtv.com/latest/page-6,Preetam Bora," Monday April 11, 2022                                                        
                                                        ",20 Electric Scooters From Jitendra EV Catch Fire While Being Transported,"According to some reports, as many as 40 electric scooters from the company caught fire near the Jitendra EV factory in Nashik, Maharashtra."
https://www.ndtv.com/latest/page-6,Reuters," Monday April 11, 2022",Bombay High Court Holds Competition Commission's Probe On Debt Trustees,"Bombay High Court on Monday put on hold an antitrust investigation into trustee units of SBI, Axis Bank and IDBI Bank for suspected collusion on fees"
https://www.ndtv.com/latest/page-6,Radhika Parashar," Monday April 11, 2022                                                        
                                                        ",Crypto Trading Volume Nosedives in India Days After Tax Rule Implemented: Crebaco,"India’s tax laws on virtual digital assets is hampering crypto trading in the nation, a report by research firm Crebaco has claimed. It says that exchanges like WazirX, CoinDCX, and ZebPay have seen trading activities slip subtantially downwards in the last ten days. India’s tax laws on digital assets came into effect on April 1."
https://www.ndtv.com/latest/page-6,Siddhant Chandra," Monday April 11, 2022                                                        
                                                        ","Realme Q5 Series Launch Officially Teased, Pro x Vans Model Allegedly Spotted",A Realme Q5 series handset has been officially teased. Its special edition Pro x Vans variant has been allegedly spotted.
https://www.ndtv.com/latest/page-6,Edited by Gadgets 360 Newsdesk," Monday April 11, 2022                                                        
                                                        ","Temperatures on These Exoplanets Are Melting Rocks, NASA Hubble Space Telescope Reveals","NASA scientists have found planets where the temperature goes past 3,000 degrees Fahrenheit (roughly 1650 degrees Celsius), enough to melt even titanium. The two planets cited are WASP-178b, an exoplanet 1300 light-years away, and KELT-20b, a massive Jupiter-sized exoplanet 400 light-years away."
https://www.ndtv.com/latest/page-6,Rupali Datta," Monday April 11, 2022                                                        
                                                        ",Good Skin Health: Foods To Boost Collagen Production,"Skin Diet: As we grow older, our processes start to slow down and this affects the production of collagen too"
https://www.ndtv.com/latest/page-6,Siddhant Chandra," Monday April 11, 2022                                                        
                                                        ",OnePlus Nord 2T Tipped to Sport MediaTek Dimensity 1300 SoC - A Closer Look at the Chip,"OnePlus Nord 2T has been tipped to sport a MediaTek Dimensity 1300 SoC, a chip that was first unveiled last month. Here are more details about the SoC."
https://www.ndtv.com/latest/page-6,NDTV Movies News Desk," Monday April 11, 2022                                                        
                                                        ",Spot Shanaya Kapoor In This Bunch Of Happy Faces,"For the caption, she wrote, “Say” and added cheese and a red heart emojis."
https://www.ndtv.com/latest/page-6,Jagmeet Singh," Monday April 11, 2022                                                        
                                                        ","Airtel Black Rs. 1,099 Plan With Fibre Broadband, Landline, DTH Benefits Launched","Airtel Black has added the Rs. 1,099 plan for broadband, landline, and DTH customers. It does include benefits for postpaid connections."
